id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
16312941,Angel Fish Queen Suite 3-1 (Gold Standard),49014327,Hummingbird Home,Belize,Belize Islands,17.91208,-87.97028,Private room,177,1,45,2021-12-31,0.70,8,351,1,
16331814,Bella Sombra Kings Park Belize City R5,24731119,Laura,Belize,Belize Mainland,17.51281,-88.19276,Private room,101,1,5,2018-03-25,0.08,13,364,0,
16334075,Beach Front Casita Del Mar - House by the Sea,106927859,Cheryl,Stann Creek,Stann Creek Mainland,16.85691,-88.27969,Entire home/apt,313,3,18,2022-03-19,0.32,1,263,11,
16334950,"B&B Green Valley Inn Unique Tree house, near ATM",72943280,Marcela,Cayo,Cayo,17.21734,-88.93142,Entire home/apt,119,1,53,2022-03-10,0.84,9,328,14,
16365846,(#11) Ocean View Room w/ Balcony @ParhamPlaza,29921817,Maria,Belize,Belize Islands,17.91974,-87.96215,Hotel room,252,1,19,2021-07-05,0.30,8,35,2,
16407477,Mango Acre. Near tours.Serene jungle.Hike. Bus,64977269,Brent,Cayo,Cayo,17.20975,-89.05019,Entire home/apt,79,6,1,2020-01-05,0.04,4,365,0,
16423695,See the sea from bed - Flip Flop Palace #3,39345309,Annamarie,Stann Creek,Stann Creek Mainland,16.62038,-88.35272,Hotel room,595,1,0,,,11,331,0,
16434232,(#16) The Loft @Parham Plaza,29921817,Maria,Belize,Belize Islands,17.91947,-87.96209,Entire home/apt,346,1,47,2020-03-17,0.76,8,0,0,
16434248,SUN&SAND,107756430,Thomas,Stann Creek,Stann Creek Mainland,16.5791,-88.36766,Entire home/apt,107,5,0,,,1,0,0,
16475127,Blue Wave Guest House - Exclusive Cabana,98145906,Blue Wave,Belize,Belize Islands,17.74712,-88.02427,Private room,202,2,14,2022-02-21,0.22,2,358,1,
16489934,Jaguar Creek - Honeymoon Suite,27234580,Jaguar Creek,Cayo,Cayo,17.16117,-88.67918,Hotel room,276,1,10,2022-01-31,0.16,3,322,1,
16505568,Belmopan Tiny House Xunantunich,61596706,Carren,Cayo,Cayo,17.2579,-88.75526,Entire home/apt,60,1,6,2020-04-02,0.09,5,0,0,
16514590,Wish Willy Riverfront Cabana,108557941,Julie & Gary,Cayo,Cayo,17.163,-89.06429,Entire home/apt,181,2,47,2022-01-08,0.74,3,364,2,
16517956,Wish Willy Riverview Cabana,108557941,Julie & Gary,Cayo,Cayo,17.16139,-89.06405,Entire home/apt,161,2,28,2021-12-24,0.46,3,364,1,
16524428,Casa Tropical Howler Hill,970759,Kathie,Cayo,Cayo,16.98535,-89.04462,Entire home/apt,212,3,22,2020-03-05,0.35,1,356,0,
